,Education,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,joined_days,Age,Living_With,Children,Family_Size,Is_Parent
22,Postgraduate,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,4687,75,Partner,1,3,1
23,Postgraduate,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,3968,70,Partner,1,3,1
24,Graduate,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,4326,73,Partner,1,3,1
25,Graduate,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,4342,55,Alone,0,1,0
26,Graduate,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,4317,48,Partner,2,4,1
27,Graduate,52247.25135379061,19,5,1,3,3,263,362,0,27,0,0,1,4324,38,Alone,1,2,1
28,Graduate,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,4313,35,Partner,1,3,1
29,Postgraduate,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,4322,59,Partner,0,2,0
30,Postgraduate,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,3957,35,Alone,0,1,0
31,Postgraduate,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,4333,61,Partner,0,2,0
32,Graduate,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,4700,54,Partner,1,3,1
33,Postgraduate,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,4681,72,Alone,2,3,1
34,Postgraduate,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,4324,78,Partner,0,2,0
35,Postgraduate,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,4315,73,Alone,2,3,1
36,Postgraduate,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,4313,54,Partner,1,3,1
37,Undergraduate,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,4342,48,Partner,1,3,1
38,Graduate,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,3968,51,Alone,1,2,1
39,Postgraduate,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,4343,81,Alone,0,1,0
40,Graduate,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,4315,44,Partner,1,3,1
41,Postgraduate,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,4332,39,Partner,1,3,1
42,Graduate,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,4686,67,Partner,1,3,1
43,Postgraduate,52247.25135379061,80,81,11,50,3,2,39,1,1,3,4,2,4339,65,Alone,0,1,0
44,Postgraduate,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,4342,49,Partner,1,3,1
45,Graduate,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,3951,48,Alone,0,1,0
46,Undergraduate,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,4701,28,Partner,0,2,0
47,Graduate,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,4320,56,Partner,1,3,1
48,Graduate,52247.25135379061,96,48,5,48,6,10,7,3,2,1,4,6,3978,73,Alone,3,4,1
49,Postgraduate,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,4702,70,Partner,2,4,1
50,Graduate,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,3967,67,Alone,1,2,1
51,Postgraduate,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,4699,60,Partner,0,2,0
52,Graduate,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,4342,47,Alone,1,2,1
53,Graduate,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,3972,47,Alone,0,1,0
54,Graduate,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,4332,46,Partner,2,4,1
55,Postgraduate,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,4691,69,Partner,0,2,0
56,Graduate,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,4342,58,Alone,0,1,0
57,Graduate,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,3951,36,Alone,1,2,1
58,Graduate,52247.25135379061,57,11,3,22,2,2,6,2,2,0,3,6,4327,42,Alone,1,2,1
59,Postgraduate,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,3976,56,Partner,1,3,1
60,Postgraduate,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,4340,42,Alone,0,1,0
61,Graduate,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,4703,49,Partner,2,4,1
62,Graduate,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,4326,72,Alone,1,2,1
63,Postgraduate,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,4333,73,Alone,1,2,1
64,Graduate,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,4338,76,Partner,0,2,0
65,Graduate,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,4323,53,Partner,1,3,1
66,Graduate,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,3968,57,Partner,2,4,1
67,Undergraduate,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,3960,45,Alone,1,2,1
68,Graduate,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,4317,66,Partner,1,3,1
69,Graduate,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,4336,54,Partner,3,5,1
70,Postgraduate,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,4699,70,Partner,0,2,0
71,Undergraduate,52247.25135379061,25,25,3,43,17,4,17,3,3,0,3,8,4696,51,Partner,1,3,1
72,Graduate,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,4327,65,Partner,1,3,1
73,Postgraduate,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,4339,49,Partner,2,4,1
74,Graduate,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,3949,72,Partner,0,2,0
75,Graduate,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,4691,47,Alone,1,2,1
76,Postgraduate,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,4683,52,Partner,0,2,0
77,Graduate,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,4698,48,Alone,0,1,0
78,Undergraduate,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,4340,48,Partner,0,2,0
79,Graduate,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,4342,59,Partner,0,2,0
80,Graduate,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,4681,39,Alone,1,2,1
81,Graduate,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,4321,55,Partner,1,3,1
82,Undergraduate,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,4341,51,Partner,1,3,1
83,Postgraduate,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,4333,61,Partner,0,2,0
84,Graduate,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,3954,37,Alone,0,1,0
85,Graduate,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,4333,64,Partner,2,4,1
86,Postgraduate,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,4328,54,Partner,2,4,1
87,Graduate,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,3951,67,Alone,1,2,1
88,Graduate,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,3967,51,Partner,0,2,0
89,Graduate,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,3958,57,Partner,1,3,1
90,Postgraduate,52247.25135379061,4,230,42,192,49,37,53,12,7,2,8,9,4691,67,Partner,3,5,1
91,Graduate,52247.25135379061,45,7,0,8,2,0,1,1,1,0,2,7,3952,67,Alone,2,3,1
92,Postgraduate,52247.25135379061,87,445,37,359,98,28,18,1,2,4,8,1,4321,51,Partner,0,2,0
93,Postgraduate,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,3956,52,Alone,1,2,1
94,Postgraduate,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,3955,54,Partner,1,3,1
95,Graduate,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,3957,41,Partner,1,3,1
96,Graduate,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,4688,64,Alone,1,2,1
97,Graduate,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,4333,52,Alone,2,3,1
98,Undergraduate,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,4343,73,Partner,0,2,0
99,Postgraduate,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,4324,41,Partner,0,2,0
100,Undergraduate,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,4321,64,Alone,1,2,1
101,Postgraduate,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,3949,65,Alone,1,2,1
102,Graduate,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,4324,45,Partner,1,3,1
103,Postgraduate,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,4327,79,Partner,0,2,0
104,Graduate,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,3971,65,Partner,0,2,0
105,Undergraduate,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,4334,45,Partner,1,3,1
106,Graduate,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,4320,60,Partner,2,4,1
107,Graduate,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,4342,55,Partner,2,4,1
108,Graduate,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,4691,46,Alone,1,2,1
109,Postgraduate,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,4703,64,Partner,0,2,0
110,Graduate,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,4342,45,Partner,1,3,1
111,Postgraduate,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,4700,33,Alone,0,1,0
112,Postgraduate,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,3954,61,Partner,1,3,1
113,Graduate,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,4342,33,Alone,0,1,0
114,Postgraduate,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,4698,44,Partner,1,3,1
115,Graduate,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,4334,62,Alone,2,3,1
116,Graduate,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,3955,54,Partner,0,2,0
117,Undergraduate,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,4325,46,Partner,1,3,1
118,Undergraduate,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,4333,57,Partner,2,4,1
119,Graduate,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,4330,55,Partner,1,3,1
120,Postgraduate,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,4324,71,Partner,1,3,1
121,Postgraduate,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,3955,57,Alone,1,2,1
122,Postgraduate,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,4340,39,Partner,2,4,1
123,Graduate,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,4322,48,Alone,1,2,1
124,Graduate,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,4332,41,Alone,0,1,0
125,Undergraduate,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,4326,59,Partner,0,2,0
126,Graduate,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,4323,40,Alone,0,1,0
127,Postgraduate,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,3971,71,Partner,2,4,1
128,Postgraduate,52247.25135379061,23,352,0,27,10,0,15,3,6,1,7,6,4333,63,Partner,1,3,1
129,Postgraduate,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,3969,68,Partner,2,4,1
130,Graduate,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,4314,72,Partner,1,3,1
131,Postgraduate,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,4334,66,Alone,2,3,1
132,Graduate,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,3969,55,Partner,0,2,0
133,Graduate,52247.25135379061,96,231,65,196,38,71,124,1,6,5,7,4,4333,61,Partner,1,3,1
134,Postgraduate,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,4330,60,Partner,2,4,1
135,Postgraduate,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,4327,57,Partner,0,2,0
136,Undergraduate,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,4702,48,Alone,1,2,1
137,Postgraduate,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,4337,65,Partner,3,5,1
138,Postgraduate,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,3960,51,Alone,2,3,1
139,Postgraduate,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,4316,59,Alone,2,3,1
140,Postgraduate,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,4691,32,Alone,0,1,0
141,Postgraduate,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,4330,48,Partner,1,3,1
142,Graduate,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,4325,62,Partner,0,2,0
143,Postgraduate,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,4316,50,Alone,1,2,1
144,Graduate,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,4325,36,Partner,1,3,1
145,Graduate,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,4692,48,Partner,2,4,1
146,Graduate,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,4682,49,Partner,1,3,1
147,Graduate,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,4316,43,Partner,1,3,1
148,Undergraduate,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,4688,51,Partner,3,5,1
149,Postgraduate,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,3958,58,Partner,0,2,0
150,Postgraduate,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,3955,71,Partner,2,4,1
151,Graduate,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,3972,55,Partner,1,3,1
152,Undergraduate,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,4696,52,Partner,1,3,1
153,Graduate,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,3967,36,Alone,1,2,1
154,Postgraduate,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,4701,72,Partner,1,3,1
155,Graduate,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,4325,75,Partner,0,2,0
156,Graduate,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,4336,66,Alone,1,2,1
157,Graduate,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,4332,46,Alone,3,4,1
158,Graduate,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,4327,47,Partner,1,3,1
159,Graduate,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,4324,69,Alone,0,1,0
160,Postgraduate,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,4343,66,Alone,3,4,1
161,Postgraduate,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,4705,79,Partner,0,2,0
162,Graduate,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,3974,40,Partner,1,3,1
163,Postgraduate,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,4343,49,Alone,0,1,0
164,Postgraduate,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,3978,51,Partner,1,3,1
165,Graduate,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,4331,58,Partner,3,5,1
166,Graduate,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,4326,71,Alone,0,1,0
167,Graduate,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,4316,65,Alone,0,1,0
168,Graduate,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,4342,36,Alone,0,1,0
169,Graduate,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,3954,67,Partner,2,4,1
170,Graduate,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,3958,59,Partner,2,4,1
171,Graduate,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,4331,42,Partner,1,3,1
172,Graduate,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,3958,54,Partner,2,4,1
173,Postgraduate,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,3949,65,Partner,2,4,1
174,Graduate,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,3975,57,Alone,1,2,1
175,Postgraduate,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,4698,49,Partner,1,3,1
176,Postgraduate,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,4694,76,Partner,0,2,0
177,Postgraduate,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,3956,54,Partner,2,4,1
178,Graduate,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,3955,65,Partner,3,5,1
179,Undergraduate,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,4343,73,Partner,0,2,0
180,Postgraduate,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,3968,48,Partner,1,3,1
181,Undergraduate,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,3969,36,Partner,1,3,1
182,Postgraduate,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,4316,78,Partner,0,2,0
183,Postgraduate,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,3957,40,Partner,1,3,1
184,Undergraduate,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,3964,63,Partner,0,2,0
185,Graduate,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,4705,41,Partner,1,3,1
186,Postgraduate,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,3971,54,Alone,1,2,1
187,Graduate,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,4342,58,Partner,1,3,1
188,Graduate,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,4325,48,Partner,0,2,0
189,Postgraduate,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,4321,60,Partner,2,4,1
190,Undergraduate,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,4701,46,Partner,1,3,1
191,Postgraduate,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,4327,35,Partner,0,2,0
192,Undergraduate,36640.0,99,15,6,8,7,4,25,1,2,1,2,5,4318,124,Alone,1,2,1
193,Graduate,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,4314,36,Partner,1,3,1
194,Graduate,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,4326,51,Partner,2,4,1
195,Graduate,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,4315,47,Partner,2,4,1
196,Postgraduate,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,3966,44,Partner,0,2,0
197,Graduate,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,4325,70,Partner,0,2,0
198,Graduate,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,4327,70,Partner,0,2,0
199,Postgraduate,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,3948,51,Alone,2,3,1
200,Graduate,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,3950,72,Alone,1,2,1
201,Graduate,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,4335,56,Alone,0,1,0
202,Graduate,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,4330,46,Alone,1,2,1
203,Postgraduate,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,4708,47,Partner,0,2,0
204,Postgraduate,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,4327,59,Alone,2,3,1
205,Postgraduate,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,4700,40,Alone,0,1,0
206,Graduate,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,4336,36,Partner,1,3,1
207,Postgraduate,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,4331,61,Alone,2,3,1
208,Graduate,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,3971,58,Partner,1,3,1
209,Graduate,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,4700,70,Alone,1,2,1
210,Graduate,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,4313,68,Partner,1,3,1
211,Graduate,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,3961,70,Partner,0,2,0
212,Postgraduate,44377.0,70,224,0,30,0,0,10,8,5,1,5,8,4705,56,Partner,2,4,1
213,Postgraduate,46014.0,21,410,0,59,19,9,44,10,7,1,8,7,4323,50,Partner,2,4,1
214,Graduate,70951.0,66,239,10,554,254,87,54,1,3,4,9,1,4340,39,Partner,0,2,0
215,Graduate,41443.0,79,171,7,171,25,19,89,6,8,1,5,8,3978,47,Partner,1,3,1
216,Undergraduate,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,3967,46,Alone,3,4,1
217,Postgraduate,83790.0,81,1076,16,417,42,48,16,1,8,10,6,3,4329,76,Partner,0,2,0
218,Postgraduate,44551.0,24,182,4,33,0,0,66,2,4,1,5,7,4313,70,Alone,1,2,1
219,Graduate,69508.0,48,824,32,162,42,32,43,2,11,4,11,6,4696,44,Partner,1,3,1
220,Undergraduate,45204.0,93,30,11,25,29,1,18,1,1,1,4,3,3968,36,Partner,1,3,1
221,Graduate,72460.0,56,377,10,540,80,30,10,1,3,5,7,1,4330,55,Partner,0,2,0
222,Postgraduate,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,3965,54,Partner,2,4,1
223,Postgraduate,30732.0,44,155,1,25,0,1,3,4,4,1,4,8,4339,44,Partner,1,3,1
224,Graduate,63887.0,38,897,23,207,15,11,92,5,9,6,12,6,4702,62,Alone,1,2,1
225,Graduate,42011.0,46,131,0,16,2,1,39,4,3,1,4,8,4318,46,Partner,1,3,1
226,Graduate,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,4685,48,Partner,1,3,1
227,Graduate,51537.0,27,787,20,204,0,0,92,3,2,2,11,8,4701,72,Alone,1,2,1
228,Postgraduate,79930.0,72,792,86,740,67,51,17,1,3,5,8,2,4702,52,Partner,0,2,0
229,Postgraduate,34320.0,66,4,1,9,3,0,0,1,1,0,2,8,3963,38,Partner,1,3,1
230,Graduate,37070.0,30,231,7,137,4,15,39,9,5,1,8,7,4324,58,Alone,2,3,1
231,Undergraduate,81975.0,2,983,76,184,180,138,27,1,6,3,4,7,4339,62,Alone,1,2,1
232,Graduate,38590.0,65,3,1,8,4,3,3,1,1,0,2,8,4329,53,Partner,1,3,1
233,Graduate,15033.0,37,0,4,5,6,0,4,1,1,0,3,3,3963,73,Alone,0,1,0
234,Postgraduate,62745.0,89,562,21,464,28,10,32,3,7,8,11,5,4321,59,Partner,1,3,1
235,Undergraduate,22212.0,49,5,9,20,6,8,21,2,2,0,4,6,4335,49,Partner,1,3,1
236,Postgraduate,23661.0,46,18,0,4,0,0,1,1,1,0,3,7,4340,42,Partner,1,3,1
237,Postgraduate,79761.0,32,415,5,124,15,35,11,1,5,2,11,3,4340,66,Alone,1,2,1
238,Graduate,7500.0,54,5,3,10,12,7,20,4,3,1,3,7,4318,51,Alone,1,2,1
239,Undergraduate,60182.0,23,8,0,5,7,0,2,1,1,0,2,4,3962,131,Alone,1,2,1
240,Graduate,73455.0,98,901,61,757,186,163,20,1,6,5,10,3,4316,56,Alone,0,1,0
241,Graduate,64961.0,97,382,114,276,75,124,38,2,6,4,4,3,4687,66,Partner,1,3,1
242,Graduate,22804.0,75,14,1,7,2,1,1,1,2,0,2,9,4313,53,Alone,1,2,1
243,Graduate,73687.0,8,559,153,503,218,13,181,1,3,9,9,2,4316,34,Partner,0,2,0
244,Graduate,61074.0,37,789,0,133,0,28,152,7,11,5,8,7,4693,66,Partner,1,3,1
245,Postgraduate,31686.0,31,11,0,5,0,0,1,2,1,0,3,6,3974,60,Partner,2,4,1
246,Graduate,80134.0,40,1218,16,272,104,0,80,2,5,3,6,6,4324,52,Partner,1,3,1
247,Graduate,75027.0,74,925,64,179,133,12,77,2,9,4,6,5,4335,71,Partner,1,3,1
248,Postgraduate,67546.0,90,864,134,768,150,38,172,1,4,10,5,3,4679,36,Partner,0,2,0
249,Postgraduate,65176.0,57,960,28,183,220,70,70,4,9,6,6,6,4681,55,Partner,1,3,1
250,Postgraduate,31160.0,59,16,3,25,6,1,13,2,2,0,3,8,4328,49,Alone,1,2,1
251,Graduate,29938.0,52,3,3,7,0,2,11,2,1,0,3,6,4317,39,Alone,1,2,1
252,Graduate,102692.0,5,168,148,444,32,172,148,1,6,9,13,2,4339,50,Alone,0,1,0
253,Undergraduate,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,4688,66,Partner,0,2,0
254,Graduate,75702.0,77,650,28,353,45,42,30,5,4,6,11,8,4681,57,Partner,2,4,1
255,Postgraduate,30899.0,35,24,0,8,0,0,1,2,1,0,3,6,4697,50,Alone,1,2,1
256,Postgraduate,63342.0,48,918,21,118,13,10,21,3,8,3,5,6,4694,63,Partner,1,3,1
257,Graduate,45989.0,97,138,33,87,28,24,12,4,3,2,7,3,4688,60,Alone,1,2,1
258,Graduate,18701.0,95,12,4,2,10,6,10,4,2,0,4,5,4340,60,Alone,2,3,1
259,Postgraduate,40737.0,24,11,0,4,0,0,2,1,1,0,2,8,4336,67,Alone,3,4,1
260,Graduate,15287.0,60,1,2,8,4,3,13,2,1,1,2,7,4700,45,Alone,1,2,1
261,Postgraduate,69674.0,46,554,41,215,11,0,24,3,10,2,10,5,4322,56,Alone,2,3,1
262,Postgraduate,44159.0,85,167,2,62,24,13,7,4,4,1,6,5,3962,54,Partner,1,3,1
